Type,Algorithm,Time,Comparisons
WITHPREFIX_2300,Ternary QuickSort,1.62931,61595
WITHPREFIX_2300,MSD Radix,5.81292,79756
WITHPREFIX_2300,MSD Radix + Quick,3.94918,84898
RANDOM_2400,std::sort,2.41532,44151
RANDOM_2400,MergeSort,3.07216,34046
RANDOM_2400,MergeSort LCP,5.50269,34059
RANDOM_2400,Ternary QuickSort,1.10985,27698
RANDOM_2400,MSD Radix,2.79075,11338
RANDOM_2400,MSD Radix + Quick,0.793416,17115
REVERSED_2400,std::sort,0.4714,10116
REVERSED_2400,MergeSort,2.33943,19691
REVERSED_2400,MergeSort LCP,4.42131,21559
REVERSED_2400,Ternary QuickSort,4.17314,114837
REVERSED_2400,MSD Radix,2.78777,11346
REVERSED_2400,MSD Radix + Quick,1.51459,39067
ALMOST_2400,std::sort,1.37736,29122
ALMOST_2400,MergeSort,2.66538,31014
ALMOST_2400,MergeSort LCP,5.00633,29385
ALMOST_2400,Ternary QuickSort,1.84449,48296
ALMOST_2400,MSD Radix,2.84625,11298
ALMOST_2400,MSD Radix + Quick,0.866358,19269
WITHPREFIX_2400,std::sort,17.9448,501598
WITHPREFIX_2400,MergeSort,17.019,392739
WITHPREFIX_2400,MergeSort LCP,11.7716,393288
WITHPREFIX_2400,Ternary QuickSort,1.74049,63796
WITHPREFIX_2400,MSD Radix,6.12508,83278
WITHPREFIX_2400,MSD Radix + Quick,4.12093,88831
RANDOM_2500,std::sort,2.54747,46930
RANDOM_2500,MergeSort,3.21389,35730
RANDOM_2500,MergeSort LCP,5.64705,35772
RANDOM_2500,Ternary QuickSort,1.29973,30707
RANDOM_2500,MSD Radix,3.00468,11840
RANDOM_2500,MSD Radix + Quick,0.853283,17743
REVERSED_2500,std::sort,0.524992,10585
REVERSED_2500,MergeSort,2.55229,20652
REVERSED_2500,MergeSort LCP,4.82749,22658
REVERSED_2500,Ternary QuickSort,4.5578,118936
REVERSED_2500,MSD Radix,4.17797,11958
REVERSED_2500,MSD Radix + Quick,2.18203,41359
ALMOST_2500,std::sort,1.47651,29872
ALMOST_2500,MergeSort,2.87446,32809
ALMOST_2500,MergeSort LCP,5.23538,31161
ALMOST_2500,Ternary QuickSort,2.64706,70998
ALMOST_2500,MSD Radix,3.09938,11934
ALMOST_2500,MSD Radix + Quick,0.900792,19945
WITHPREFIX_2500,std::sort,18.0641,528252
WITHPREFIX_2500,MergeSort,14.9059,413209
WITHPREFIX_2500,MergeSort LCP,12.0141,412681
WITHPREFIX_2500,Ternary QuickSort,1.76199,66256
WITHPREFIX_2500,MSD Radix,6.39518,86792
WITHPREFIX_2500,MSD Radix + Quick,4.30332,92961
RANDOM_2600,std::sort,3.36077,48654
RANDOM_2600,MergeSort,4.12607,37480
RANDOM_2600,MergeSort LCP,9.13947,37500
RANDOM_2600,Ternary QuickSort,1.31323,30426
RANDOM_2600,MSD Radix,3.28944,12416
RANDOM_2600,MSD Radix + Quick,0.84885,18427
REVERSED_2600,std::sort,0.519208,11004
REVERSED_2600,MergeSort,2.58311,21611
REVERSED_2600,MergeSort LCP,4.8374,23837
REVERSED_2600,Ternary QuickSort,4.6076,125649
REVERSED_2600,MSD Radix,3.11943,12422
REVERSED_2600,MSD Radix + Quick,1.73303,44898
ALMOST_2600,std::sort,1.49416,31390
ALMOST_2600,MergeSort,2.88722,34381
ALMOST_2600,MergeSort LCP,5.47358,32500
ALMOST_2600,Ternary QuickSort,2.33678,63350
ALMOST_2600,MSD Radix,3.06211,12368
ALMOST_2600,MSD Radix + Quick,0.93875,21290
WITHPREFIX_2600,std::sort,18.8414,549485
WITHPREFIX_2600,MergeSort,15.493,431285
WITHPREFIX_2600,MergeSort LCP,12.553,430985
WITHPREFIX_2600,Ternary QuickSort,1.85798,69894
WITHPREFIX_2600,MSD Radix,6.74907,90360
WITHPREFIX_2600,MSD Radix + Quick,4.49094,96864
RANDOM_2700,std::sort,2.6981,50756
RANDOM_2700,MergeSort,3.52016,39261
RANDOM_2700,MergeSort LCP,6.46732,39262
RANDOM_2700,Ternary QuickSort,1.34658,32134
RANDOM_2700,MSD Radix,3.40307,12954
RANDOM_2700,MSD Radix + Quick,0.926333,19265
REVERSED_2700,std::sort,0.537333,11448
REVERSED_2700,MergeSort,2.77257,22513
REVERSED_2700,MergeSort LCP,5.13377,25072
REVERSED_2700,Ternary QuickSort,4.89646,130823
REVERSED_2700,MSD Radix,3.49258,12974
REVERSED_2700,MSD Radix + Quick,1.90536,47963
ALMOST_2700,std::sort,1.57323,32761
ALMOST_2700,MergeSort,3.14402,36299
ALMOST_2700,MergeSort LCP,5.96927,34297
ALMOST_2700,Ternary QuickSort,3.04792,80756
ALMOST_2700,MSD Radix,3.64393,12932
ALMOST_2700,MSD Radix + Quick,1.06692,22645
WITHPREFIX_2700,std::sort,19.7308,574353
WITHPREFIX_2700,MergeSort,16.0839,450106
WITHPREFIX_2700,MergeSort LCP,13.3003,450284
WITHPREFIX_2700,Ternary QuickSort,1.92093,72502
WITHPREFIX_2700,MSD Radix,7.05504,93942
WITHPREFIX_2700,MSD Radix + Quick,4.66023,100585
RANDOM_2800,std::sort,3.00071,53308
RANDOM_2800,MergeSort,3.81602,40973
RANDOM_2800,MergeSort LCP,6.46301,40993
RANDOM_2800,Ternary QuickSort,1.32604,32761
RANDOM_2800,MSD Radix,3.43083,13436
RANDOM_2800,MSD Radix + Quick,0.939634,20454
REVERSED_2800,std::sort,0.57185,11881
REVERSED_2800,MergeSort,2.79468,23519
REVERSED_2800,MergeSort LCP,5.25164,26069
REVERSED_2800,Ternary QuickSort,4.99344,136470
REVERSED_2800,MSD Radix,3.43344,13486
REVERSED_2800,MSD Radix + Quick,1.94732,50558
ALMOST_2800,std::sort,1.58689,33777
ALMOST_2800,MergeSort,3.2561,37991
ALMOST_2800,MergeSort LCP,6.34172,35932
ALMOST_2800,Ternary QuickSort,2.7751,71353
ALMOST_2800,MSD Radix,3.53331,13434
ALMOST_2800,MSD Radix + Quick,1.05562,23156
WITHPREFIX_2800,std::sort,20.2657,614499
WITHPREFIX_2800,MergeSort,17.2954,470168
WITHPREFIX_2800,MergeSort LCP,14.4141,469296
WITHPREFIX_2800,Ternary QuickSort,1.98526,75287
WITHPREFIX_2800,MSD Radix,7.45932,97472
WITHPREFIX_2800,MSD Radix + Quick,4.83199,104358
RANDOM_2900,std::sort,3.0322,55692
RANDOM_2900,MergeSort,3.84104,42889
RANDOM_2900,MergeSort LCP,6.69273,42878
RANDOM_2900,Ternary QuickSort,1.31212,32905
RANDOM_2900,MSD Radix,3.72179,14092
RANDOM_2900,MSD Radix + Quick,0.962533,21447
REVERSED_2900,std::sort,0.576525,12319
REVERSED_2900,MergeSort,2.88872,24477
REVERSED_2900,MergeSort LCP,5.53756,27063
REVERSED_2900,Ternary QuickSort,5.17147,141818
REVERSED_2900,MSD Radix,3.58534,14006
REVERSED_2900,MSD Radix + Quick,2.05654,53466
ALMOST_2900,std::sort,1.66668,35318
ALMOST_2900,MergeSort,3.45838,39286
ALMOST_2900,MergeSort LCP,6.55875,37280
ALMOST_2900,Ternary QuickSort,3.50482,89491
ALMOST_2900,MSD Radix,3.78044,14022
ALMOST_2900,MSD Radix + Quick,1.10396,24698
WITHPREFIX_2900,std::sort,20.7272,619704
WITHPREFIX_2900,MergeSort,18.0596,489596
WITHPREFIX_2900,MergeSort LCP,14.0005,488618
WITHPREFIX_2900,Ternary QuickSort,2.10926,78570
WITHPREFIX_2900,MSD Radix,8.01307,100942
WITHPREFIX_2900,MSD Radix + Quick,5.00217,108314
RANDOM_3000,std::sort,3.17835,58608
RANDOM_3000,MergeSort,3.98361,44691
RANDOM_3000,MergeSort LCP,6.95622,44715
RANDOM_3000,Ternary QuickSort,1.39667,34727
RANDOM_3000,MSD Radix,3.87439,14688
RANDOM_3000,MSD Radix + Quick,1.00345,22436
REVERSED_3000,std::sort,0.603058,12744
REVERSED_3000,MergeSort,3.02666,25799
REVERSED_3000,MergeSort LCP,5.69402,28267
REVERSED_3000,Ternary QuickSort,5.40732,148567
REVERSED_3000,MSD Radix,3.6763,14462
REVERSED_3000,MSD Radix + Quick,2.20466,57432
ALMOST_3000,std::sort,1.75783,36419
ALMOST_3000,MergeSort,3.64047,41221
ALMOST_3000,MergeSort LCP,6.80188,39340
ALMOST_3000,Ternary QuickSort,3.25855,84033
ALMOST_3000,MSD Radix,3.94849,14580
ALMOST_3000,MSD Radix + Quick,1.16823,25189
WITHPREFIX_3000,std::sort,22.1278,651795
WITHPREFIX_3000,MergeSort,18.6097,508330
WITHPREFIX_3000,MergeSort LCP,14.433,508717
WITHPREFIX_3000,Ternary QuickSort,2.10068,79952
WITHPREFIX_3000,MSD Radix,7.98907,104444
WITHPREFIX_3000,MSD Radix + Quick,5.35676,112155
