Type,Algorithm,Time,Comparisons
ALMOST_500,MSD Radix + Quick,0.132967,2419
WITHPREFIX_500,std::sort,2.57085,66574
WITHPREFIX_500,MergeSort,3.89463,51026
WITHPREFIX_500,MergeSort LCP,1.76494,51090
WITHPREFIX_500,Ternary QuickSort,0.286459,10474
WITHPREFIX_500,MSD Radix,1.18404,14102
WITHPREFIX_500,MSD Radix + Quick,0.726925,14312
RANDOM_600,std::sort,0.482742,7832
RANDOM_600,MergeSort,0.606634,6092
RANDOM_600,MergeSort LCP,1.16849,6068
RANDOM_600,Ternary QuickSort,0.224983,5534
RANDOM_600,MSD Radix,0.607533,2516
RANDOM_600,MSD Radix + Quick,0.143358,2972
REVERSED_600,std::sort,0.124725,2405
REVERSED_600,MergeSort,0.471575,3650
REVERSED_600,MergeSort LCP,0.945758,4047
REVERSED_600,Ternary QuickSort,0.910658,24526
REVERSED_600,MSD Radix,0.627483,2530
REVERSED_600,MSD Radix + Quick,0.176092,4033
ALMOST_600,std::sort,0.253225,5093
ALMOST_600,MergeSort,0.520141,5391
ALMOST_600,MergeSort LCP,1.06758,5066
ALMOST_600,Ternary QuickSort,0.544867,14220
ALMOST_600,MSD Radix,0.670892,2550
ALMOST_600,MSD Radix + Quick,0.161483,3099
WITHPREFIX_600,std::sort,3.55726,104544
WITHPREFIX_600,MergeSort,3.00644,78285
WITHPREFIX_600,MergeSort LCP,2.46182,78162
WITHPREFIX_600,Ternary QuickSort,0.402616,14687
WITHPREFIX_600,MSD Radix,1.65166,20522
WITHPREFIX_600,MSD Radix + Quick,1.12359,20984
RANDOM_700,std::sort,0.649125,9926
RANDOM_700,MergeSort,0.796758,7472
RANDOM_700,MergeSort LCP,1.41601,7454
RANDOM_700,Ternary QuickSort,0.258417,6182
RANDOM_700,MSD Radix,0.749792,2976
RANDOM_700,MSD Radix + Quick,0.19055,3634
REVERSED_700,std::sort,0.145592,2803
REVERSED_700,MergeSort,0.591275,4361
REVERSED_700,MergeSort LCP,1.17741,4923
REVERSED_700,Ternary QuickSort,1.17576,29749
REVERSED_700,MSD Radix,0.699342,2936
REVERSED_700,MSD Radix + Quick,0.238825,5236
ALMOST_700,std::sort,0.328283,6112
ALMOST_700,MergeSort,0.66855,6743
ALMOST_700,MergeSort LCP,1.30086,6270
ALMOST_700,Ternary QuickSort,0.689267,17247
ALMOST_700,MSD Radix,0.734959,2962
ALMOST_700,MSD Radix + Quick,0.194442,3815
WITHPREFIX_700,std::sort,4.36811,124530
